,species,decimalLatitude,decimalLongitude
1348,Juniperus virginiana,37.290645,-75.925378
826,Diospyros virginiana,37.292149,-75.929293
2308,Sassafras albidum,37.29502,-75.932633
516,Ailanthus altissima,37.298857,-75.928962
2340,Sassafras albidum,37.29931,-75.920108
1416,Liquidambar styraciflua,37.299441,-75.920218
1287,Ilex opaca,37.29999,-75.920979
1326,Ilex opaca,37.300148,-75.921003
1285,Ilex opaca,37.30019,-75.921175
509,Ailanthus altissima,37.30093,-75.922135
512,Ailanthus altissima,37.301053,-75.922161
1430,Liquidambar styraciflua,37.301157,-75.922788
1407,Liquidambar styraciflua,37.301948,-75.931464
790,Diospyros virginiana,37.302234,-75.925114
1869,Prunus serotina,37.302243,-75.925349
1400,Liquidambar styraciflua,37.302263,-75.925567
1434,Liquidambar styraciflua,37.302358,-75.930843
804,Diospyros virginiana,37.302507,-75.931976
2377,Taxodium distichum,37.302775,-75.924018
513,Ailanthus altissima,37.302966,-75.933107
1428,Liquidambar styraciflua,37.30795,-75.952247
1813,Platanus occidentalis,37.333347,-76.550285
2329,Sassafras albidum,37.333519,-76.551872
557,Asimina triloba,37.33881,-76.553391
548,Asimina triloba,37.341097,-76.555978
528,Asimina triloba,37.341125,-76.475935
552,Asimina triloba,37.341465,-76.54467
560,Asimina triloba,37.34147,-76.555933
832,Diospyros virginiana,37.341785,-76.528122
2356,Sassafras albidum,37.350691,-76.547902
555,Asimina triloba,37.356888,-76.467667
1534,Nyssa sylvatica,37.358862,-76.56403
1522,Magnolia virginiana,37.361539,-76.521791
544,Asimina triloba,37.364925,-76.552024
1363,Juniperus virginiana,37.365563,-76.550532
2324,Sassafras albidum,37.365717,-76.550832
1413,Liquidambar styraciflua,37.365751,-76.550825
783,Cornus florida,37.365881,-76.550723
1269,Ilex opaca,37.365893,-76.551037
1810,Platanus occidentalis,37.366071,-76.550128
1461,Liriodendron tulipifera,37.366253,-76.551446
972,Fagus grandifolia,37.366325,-76.55096
