"","Species","EOO.norm","EOO.norm.issues","EOO.alpha","EOO.alpha.issue","nLocations","centroidX","centroidY","latRange","greatCircDist","meanPairDist","minSpanTree"
"92","Quercus macrocarpa",4318826,NA,248012,NA,10774,-92.70319,38.98405,21.40334,3174.856,957.1336,52297.1
"93","Quercus margaretta",1181766,NA,74543,NA,91,-86.68316,31.66288,9.163165,2121.99,604.7166,5424.081
"94","Quercus marilandica",2552241,NA,187363,NA,6326,-90.26554,34.98222,13.13553,2733.497,952.1121,37507.6
"95","Quercus michauxii",3923952,NA,202890,NA,2261,-85.31991,33.74922,15.5045,3280.851,856.3892,28110.21
"96","Quercus minima",491810,NA,63079,NA,705,-82.02953,28.468,8.615817,1113.626,273.4867,5200.756
"97","Quercus muehlenbergii",3386970,NA,229354,NA,4922,-91.44838,36.59369,15.6803,3160.806,897.7735,36433.24
"98","Quercus nigra",1899019,NA,140209,NA,8981,-87.12035,32.59189,12.18985,2383.332,818.5388,41383.52
"99","Quercus pagoda",1417064,NA,140342,NA,784,-86.73043,34.56297,9.807517,2122.288,744.9546,12472.2
"100","Quercus palustris",1687693,NA,139499,NA,90009,-74.13237,40.69537,9.701009,2251.561,NA,NA
"101","Quercus phellos",1749213,NA,143339,NA,10722,-78.94548,38.22777,11.91581,2450.517,704.8605,32804.22
"102","Quercus rubra",3622586,NA,188644,NA,32527,-76.44704,41.33282,17.40277,2707.634,524.0401,69260.85
"103","Quercus shumardii",2421751,NA,209202,NA,1986,-92.88226,33.80498,13.5484,2334.592,705.9068,23279.69
"104","Quercus sinuata",696117,NA,69266,NA,272,-92.97152,31.42219,6.149256,1719.164,594.9959,4180.908
"105","Quercus stellata",3078896,NA,171633,NA,8555,-89.81915,35.17603,13.76163,2952.425,974.5734,49552
"106","Quercus texana",817628,NA,84485,NA,200,-91.94769,33.21371,8.096526,1592.605,464.5613,6188.499
"107","Quercus velutina",3058227,NA,177404,NA,7302,-79.75582,40.16878,15.83385,2773.267,792.68,48255.92
"108","Quercus virginiana",2515440,NA,172359,NA,4900,-85.23657,30.29019,12.47733,2480.911,842.033,18871.86
"109","Robinia pseudoacacia",1045179,NA,113270,NA,3401,-81.54868,38.29212,9.210953,1828.69,495.8858,19469.05
"110","Salix caroliniana",2791094,NA,189628,NA,1593,-83.69732,30.00363,15.45277,2382.914,705.1047,16826.7
"111","Salix nigra",5300137,NA,224383,NA,7318,-92.02808,34.41267,20.81736,3517.636,984.0628,61684.7
