"","species","n","full_r2","full_constrained_var","full_unconstrained_var","geo_cor","lat_r2","lat_constrained_var","lat_unconstrained_var","long_r2","long_constrained_var","long_unconstrained_var","full_anova_p_value","full_anova_lat_p_value","full_anova_long_p_value","lat_anova_p_value","long_anova_p_value"
"54","Magnolia_fraseri",1741,0.221605210931844,0.222499917585945,0.777500082414052,0.688399332923226,0.220244283384561,0.22069241885388,0.779307581146121,0.0878545894517738,0.0883788109520888,0.911621189047912,0.001,0.001,0.018,0.001,0.001
"55","Magnolia_grandiflora",5434,0.482397047434514,0.482587587818304,0.517412412181695,0.040950705319327,0.264887408746525,0.265022713843387,0.734977286156614,0.212754710426721,0.212899611087419,0.78710038891258,0.001,0.001,0.001,0.001,0.001
"56","Magnolia_macrophylla",1729,0.650779733274262,0.651183923397787,0.348816076602212,0.706742504787962,0.598429118356266,0.598661508912773,0.401338491087225,0.435825238919754,0.436151728943527,0.563848271056472,0.001,0.001,0.001,0.001,0.001
"57","Magnolia_virginiana",2997,0.580462181230104,0.580742246529684,0.419257753470316,0.34514112270235,0.424074898204028,0.424267129546416,0.575732870453584,0.224920614101153,0.225179318836099,0.774820681163901,0.001,0.001,0.001,0.001,0.001
"58","Morus_rubra",4303,0.625182183436861,0.625356436257206,0.374643563742796,0.247522356497409,0.403615931563869,0.40375456105444,0.596245438945561,0.26097258636129,0.261144373300769,0.738855626699231,0.001,0.001,0.001,0.001,0.001
"59","Nyssa_aquatica",696,0.659210638739547,0.660191327548929,0.339808672451072,0.381343116582056,0.537590284148404,0.538255621869053,0.461744378130946,0.205034873256031,0.206178707970771,0.793821292029229,0.001,0.001,0.001,0.001,0.001
"60","Nyssa_biflora",721,0.488243179512076,0.489664726235654,0.510335273764346,0.0410746742533398,0.33202282850746,0.332950574578977,0.667049425421022,0.156017617872233,0.157189815625188,0.842810184374812,0.001,0.001,0.001,0.001,0.001
"61","Nyssa_ogeche",261,0.660713277092352,0.663323174960872,0.336676825039129,0.62051514733935,0.559109047687884,0.560804782119854,0.439195217880147,0.409319542170344,0.411591390085073,0.588408609914928,0.001,0.001,0.001,0.001,0.001
"62","Nyssa_sylvatica",3031,0.467840798609654,0.468192058808591,0.531807941191409,0.454655801711723,0.430671242232169,0.430859139511961,0.569140860488038,0.139479343679048,0.139763343895656,0.860236656104343,0.001,0.001,0.001,0.001,0.001
"63","Ostrya_virginiana",2150,0.553424053457513,0.553839666250944,0.446160333749058,0.138871029315371,0.488455857703677,0.488693895927175,0.511306104072826,0.0895691427161254,0.0899927959768438,0.910007204023157,0.001,0.001,0.001,0.001,0.001
"64","Oxydendrum_arboreum",4535,0.388536045114029,0.388805768958266,0.611194231041736,0.614826791561821,0.315537906897094,0.31568886898203,0.684311131017972,0.117479822962963,0.11767446790717,0.882325532092829,0.001,0.001,0.001,0.001,0.001
"65","Paulownia_tomentosa",3900,0.322047777336181,0.32239553431113,0.67760446568887,0.483147643504249,0.297988601621714,0.298168650710808,0.701831349289189,0.0802428106313389,0.0804787062941674,0.919521293705832,0.001,0.001,0.001,0.001,0.001
"66","Persea_borbonia",603,0.439061354769213,0.440924938308186,0.559075061691815,-0.00482089416875314,0.217019201275899,0.218319833831919,0.78168016616808,0.222319253240976,0.223611081723964,0.776388918276035,0.001,0.001,0.001,0.001,0.001
"67","Picea_rubens",647,0.162533738980254,0.165126513782173,0.834873486217827,0.877926871945249,0.135084729704535,0.136423607831927,0.863576392168074,0.0925772483157727,0.0939819274979464,0.906018072502054,0.001,0.001,0.001,0.001,0.001
"68","Pinus_clausa",798,0.478580348721685,0.479888804559271,0.520111195440728,-0.524960958608176,0.250806024291056,0.251746041826449,0.74825395817355,0.314027519076884,0.31488821227754,0.685111787722459,0.001,0.001,0.001,0.001,0.001
"69","Pinus_echinata",2185,0.530803578966675,0.531233246018904,0.468766753981098,0.30667119814407,0.4553572695553,0.455606648094881,0.544393351905121,0.135777600758668,0.136173306985427,0.863826693014573,0.001,0.001,0.001,0.001,0.001
"70","Pinus_elliottii",1320,0.489812313212179,0.490585910917695,0.509414089082303,-0.552466170892403,0.301874916606689,0.302404200218056,0.697595799781943,0.24892366274743,0.249493091357932,0.750506908642067,0.001,0.001,0.001,0.001,0.001
"71","Pinus_glabra",482,0.547435810079686,0.549317573863138,0.450682426136862,0.168057895696755,0.282319274923911,0.283811334643404,0.716188665356595,0.251905590067663,0.253460879901203,0.746539120098798,0.001,0.001,0.001,0.001,0.001
"72","Pinus_palustris",4737,0.564559893718049,0.564743778898067,0.435256221101928,0.229770866895791,0.338416995047459,0.338556687404924,0.661443312595077,0.245558900602279,0.245718199820901,0.754281800179099,0.001,0.001,0.001,0.001,0.001
"73","Pinus_pungens",486,0.307070652832284,0.309928093439162,0.690071906560838,0.882945561281067,0.204537403965272,0.206177533029261,0.793822466970738,0.136782530740585,0.13856236057411,0.86143763942589,0.001,0.001,0.001,0.001,0.001
